"ConceptVocabularyID","ConceptCode","ConceptTypeVocabularyID","ConceptTypeCode","TermContext","TermLanguage","TermText","TermType","TermIsPreferred","Provider","DWAuditID"
ots.ICD.ICD10GM,S53.-,,,Condition,de,Dislocation and sprain of joints and ligaments of elbow,,true,NA,1
ots.ICD.ICD10GM,S90.-,,,Condition,de,"Superficial injury of ankle, foot and toes",,true,NA,2
ots.ICD.ICD10GM,S91.-,,,Condition,de,"Open wound of ankle, foot and toes",,true,NA,3
ots.ICD.ICD10GM,S55.-,,,Condition,de,Injury of blood vessels at forearm level,,true,NA,4
ots.ICD.ICD10GM,S56.-,,,Condition,de,"Injury of muscle, fascia and tendon at forearm level",,true,NA,5
ots.ICD.ICD10GM,S92.-,,,Condition,de,"Fracture of foot and toe, except ankle",,true,NA,6
ots.ICD.ICD10GM,S03.-,,,Condition,de,Dislocation and sprain of joints and ligaments of head,,true,NA,7
ots.ICD.ICD10GM,S04.-,,,Condition,de,Injury of cranial nerve,,true,NA,8
ots.ICD.ICD10GM,S57.-,,,Condition,de,Crushing injury of elbow and forearm,,true,NA,9
ots.ICD.ICD10GM,S58.-,,,Condition,de,Traumatic amputation of elbow and forearm,,true,NA,10
ots.ICD.ICD10GM,S07.-,,,Condition,de,Crushing injury of head,,true,NA,11
ots.ICD.ICD10GM,S08.-,,,Condition,de,Avulsion and traumatic amputation of part of head,,true,NA,12
ots.ICD.ICD10GM,S09.-,,,Condition,de,Other and unspecified injuries of head,,true,NA,13
ots.ICD.ICD10GM,S10.-,,,Condition,de,Superficial injury of neck,,true,NA,14
ots.ICD.ICD10GM,S60.-,,,Condition,de,"Superficial injury of wrist, hand and fingers",,true,NA,15
ots.ICD.ICD10GM,N60.-,,,Condition,de,Benign mammary dysplasia,,true,NA,16
ots.ICD.ICD10GM,N64.-,,,Condition,de,Other disorders of breast,,true,NA,17
ots.ICD.ICD10GM,S11.-,,,Condition,de,Open wound of neck,,true,NA,18
ots.ICD.ICD10GM,S12.-,,,Condition,de,Fracture of cervical vertebra and other parts of neck,,true,NA,19
ots.ICD.ICD10GM,S13.-,,,Condition,de,Dislocation and sprain of joints and ligaments at neck level,,true,NA,20
ots.ICD.ICD10GM,N85.-,,,Condition,de,"Other noninflammatory disorders of uterus, except cervix",,true,NA,21
ots.ICD.ICD10GM,N87.-,,,Condition,de,Dysplasia of cervix uteri,,true,NA,22
ots.ICD.ICD10GM,N88.-,,,Condition,de,Other noninflammatory disorders of cervix uteri,,true,NA,23
ots.ICD.ICD10GM,N89.-,,,Condition,de,Other noninflammatory disorders of vagina,,true,NA,24
ots.ICD.ICD10GM,N90.-,,,Condition,de,Other noninflammatory disorders of vulva and perineum,,true,NA,25
ots.ICD.ICD10GM,N91.-,,,Condition,de,"Absent, scanty and rare menstruation",,true,NA,26
ots.ICD.ICD10GM,N92.-,,,Condition,de,"Excessive, frequent and irregular menstruation",,true,NA,27
ots.ICD.ICD10GM,N93.-,,,Condition,de,Other abnormal uterine and vaginal bleeding,,true,NA,28
ots.ICD.ICD10GM,N94.-,,,Condition,de,Pain and other conditions associated with female genital organs and menstrual cycle,,true,NA,29
ots.ICD.ICD10GM,N95.-,,,Condition,de,Menopausal and other perimenopausal disorders,,true,NA,30
ots.ICD.ICD10GM,N97.-,,,Condition,de,Female infertility,,true,NA,31
ots.ICD.ICD10GM,N98.-,,,Condition,de,Complications associated with artificial fertilization,,true,NA,32
ots.ICD.ICD10GM,N99.-,,,Condition,de,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified",,true,NA,33
ots.ICD.ICD10GM,O00.-,,,Condition,de,Ectopic pregnancy,,true,NA,34
ots.ICD.ICD10GM,O01.-,,,Condition,de,Hydatidiform mole,,true,NA,35
ots.ICD.ICD10GM,O02.-,,,Condition,de,Other abnormal products of conception,,true,NA,36
ots.ICD.ICD10GM,O03.-,,,Condition,de,Spontaneous abortion,,true,NA,37
ots.ICD.ICD10GM,O04.-,,,Condition,de,Complications following (induced) termination of pregnancy,,true,NA,38
ots.ICD.ICD10GM,O07.-,,,Condition,de,Failed attempted termination of pregnancy,,true,NA,39
ots.ICD.ICD10GM,O08.-,,,Condition,de,Complications following ectopic and molar pregnancy,,true,NA,40
ots.ICD.ICD10GM,S15.-,,,Condition,de,Injury of blood vessels at neck level,,true,NA,41
ots.ICD.ICD10GM,M47.-,,,Condition,de,Spondylosis,,true,NA,42
ots.ICD.ICD10GM,O10.-,,,Condition,de,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",,true,NA,43
ots.ICD.ICD10GM,O11.-,,,Condition,de,Pre-existing hypertension with pre-eclampsia,,true,NA,44
ots.ICD.ICD10GM,O12.-,,,Condition,de,Gestational [pregnancy-induced] edema and proteinuria without hypertension,,true,NA,45
ots.ICD.ICD10GM,O13.-,,,Condition,de,Gestational [pregnancy-induced] hypertension without significant proteinuria,,true,NA,46
ots.ICD.ICD10GM,O14.-,,,Condition,de,Pre-eclampsia,,true,NA,47
ots.ICD.ICD10GM,O15.-,,,Condition,de,Eclampsia,,true,NA,48
ots.ICD.ICD10GM,O16.-,,,Condition,de,Unspecified maternal hypertension,,true,NA,49
ots.ICD.ICD10GM,O20.-,,,Condition,de,Hemorrhage in early pregnancy,,true,NA,50
ots.ICD.ICD10GM,M53.-,,,Condition,de,"Other and unspecified dorsopathies, not elsewhere classified",,true,NA,51
ots.ICD.ICD10GM,M54.-,,,Condition,de,Dorsalgia,,true,NA,52
ots.ICD.ICD10GM,M60.-,,,Condition,de,Myositis,,true,NA,53
ots.ICD.ICD10GM,O23.-,,,Condition,de,Infections of genitourinary tract in pregnancy,,true,NA,54
ots.ICD.ICD10GM,O24.-,,,Condition,de,"Diabetes mellitus in pregnancy, childbirth, and the puerperium",,true,NA,55
ots.ICD.ICD10GM,L04.-,,,Condition,de,Acute lymphadenitis,,true,NA,56
ots.ICD.ICD10GM,L05.-,,,Condition,de,Pilonidal cyst and sinus,,true,NA,57
ots.ICD.ICD10GM,L08.-,,,Condition,de,Other local infections of skin and subcutaneous tissue,,true,NA,58
ots.ICD.ICD10GM,M61.-,,,Condition,de,Calcification and ossification of muscle,,true,NA,59
ots.ICD.ICD10GM,L65.-,,,Condition,de,Other nonscarring hair loss,,true,NA,60
ots.ICD.ICD10GM,L66.-,,,Condition,de,Cicatricial alopecia [scarring hair loss],,true,NA,61
ots.ICD.ICD10GM,L67.-,,,Condition,de,Hair color and hair shaft abnormalities,,true,NA,62
ots.ICD.ICD10GM,L68.-,,,Condition,de,Hypertrichosis,,true,NA,63
ots.ICD.ICD10GM,L70.-,,,Condition,de,Acne,,true,NA,64
ots.ICD.ICD10GM,L71.-,,,Condition,de,Rosacea,,true,NA,65
ots.ICD.ICD10GM,L72.-,,,Condition,de,Follicular cysts of skin and subcutaneous tissue,,true,NA,66
ots.ICD.ICD10GM,L73.-,,,Condition,de,Other follicular disorders,,true,NA,67
ots.ICD.ICD10GM,L74.-,,,Condition,de,Eccrine sweat disorders,,true,NA,68
ots.ICD.ICD10GM,L75.-,,,Condition,de,Apocrine sweat disorders,,true,NA,69
ots.ICD.ICD10GM,L76.-,,,Condition,de,Intraoperative and postprocedural complications of skin and subcutaneous tissue,,true,NA,70
ots.ICD.ICD10GM,L81.-,,,Condition,de,Other disorders of pigmentation,,true,NA,71
ots.ICD.ICD10GM,L82.-,,,Condition,de,Seborrheic keratosis,,true,NA,72
ots.ICD.ICD10GM,L85.-,,,Condition,de,Other epidermal thickening,,true,NA,73
ots.ICD.ICD10GM,L87.-,,,Condition,de,Transepidermal elimination disorders,,true,NA,74
ots.ICD.ICD10GM,L89.-,,,Condition,de,Pressure ulcer,,true,NA,75
ots.ICD.ICD10GM,L90.-,,,Condition,de,Atrophic disorders of skin,,true,NA,76
ots.ICD.ICD10GM,L91.-,,,Condition,de,Hypertrophic disorders of skin,,true,NA,77
ots.ICD.ICD10GM,L92.-,,,Condition,de,Granulomatous disorders of skin and subcutaneous tissue,,true,NA,78
ots.ICD.ICD10GM,L93.-,,,Condition,de,Lupus erythematosus,,true,NA,79
ots.ICD.ICD10GM,L94.-,,,Condition,de,Other localized connective tissue disorders,,true,NA,80
ots.ICD.ICD10GM,L95.-,,,Condition,de,"Vasculitis limited to skin, not elsewhere classified",,true,NA,81
ots.ICD.ICD10GM,L97.-,,,Condition,de,"Non-pressure chronic ulcer of lower limb, not elsewhere classified",,true,NA,82
ots.ICD.ICD10GM,L98.-,,,Condition,de,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",,true,NA,83
ots.ICD.ICD10GM,M00.-,,,Condition,de,Pyogenic arthritis,,true,NA,84
ots.ICD.ICD10GM,E09.-,,,Condition,de,Drug or chemical induced diabetes mellitus,,true,NA,85
ots.ICD.ICD10GM,E10.-,,,Condition,de,Type 1 diabetes mellitus,,true,NA,86
ots.ICD.ICD10GM,H55.-,,,Condition,de,Nystagmus and other irregular eye movements,,true,NA,87
ots.ICD.ICD10GM,H57.-,,,Condition,de,Other disorders of eye and adnexa,,true,NA,88
ots.ICD.ICD10GM,H59.-,,,Condition,de,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified",,true,NA,89
ots.ICD.ICD10GM,H60.-,,,Condition,de,Otitis externa,,true,NA,90
ots.ICD.ICD10GM,T48.-,,,Condition,de,"Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system",,true,NA,91
ots.ICD.ICD10GM,S93.-,,,Condition,de,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level",,true,NA,92
ots.ICD.ICD10GM,S59.-,,,Condition,de,Other and unspecified injuries of elbow and forearm,,true,NA,93
ots.ICD.ICD10GM,S94.-,,,Condition,de,Injury of nerves at ankle and foot level,,true,NA,94
ots.ICD.ICD10GM,S95.-,,,Condition,de,Injury of blood vessels at ankle and foot level,,true,NA,95
ots.ICD.ICD10GM,S96.-,,,Condition,de,Injury of muscle and tendon at ankle and foot level,,true,NA,96
ots.ICD.ICD10GM,S61.-,,,Condition,de,"Open wound of wrist, hand and fingers",,true,NA,97
ots.ICD.ICD10GM,S97.-,,,Condition,de,Crushing injury of ankle and foot,,true,NA,98
ots.ICD.ICD10GM,S14.-,,,Condition,de,Injury of nerves and spinal cord at neck level,,true,NA,99
ots.ICD.ICD10GM,S62.-,,,Condition,de,Fracture at wrist and hand level,,true,NA,100
ots.ICD.ICD10GM,S16.-,,,Condition,de,"Injury of muscle, fascia and tendon at neck level",,true,NA,101
ots.ICD.ICD10GM,S17.-,,,Condition,de,Crushing injury of neck,,true,NA,102
